RP, mu, Result
0, 0.0, 0.6016
0, 0.2, 1.0
0, 0.4, 1.0
0, 0.6000000000000001, 1.0
0, 0.8, 1.0
0, 1.0, 0.001
1, 0.0, 0.6016
1, 0.2, 1.0
1, 0.4, 1.0
1, 0.6000000000000001, 1.0
1, 0.8, 1.0
1, 1.0, 0.001
2, 0.0, 0.682
2, 0.2, 1.0
2, 0.4, 1.0
2, 0.6000000000000001, 1.0
2, 0.8, 1.0
2, 1.0, 0.001
3, 0.0, 0.6994
3, 0.2, 1.0
3, 0.4, 1.0
3, 0.6000000000000001, 1.0
3, 0.8, 1.0
3, 1.0, 0.001
4, 0.0, 0.7084
4, 0.2, 1.0
4, 0.4, 1.0
4, 0.6000000000000001, 1.0
4, 0.8, 1.0
4, 1.0, 0.001
5, 0.0, 0.8298
5, 0.2, 0.8889337814675772
5, 0.4, 0.895532354927241
5, 0.6000000000000001, 0.8982748409091055
5, 0.8, 0.8994633502704404
5, 1.0, 0.001
6, 0.0, 0.451
6, 0.2, 0.47367457822229214
6, 0.4, 0.4891969043919804
6, 0.6000000000000001, 0.4993214445423891
6, 0.8, 0.5073910706216243
6, 1.0, 0.001
7, 0.0, 0.1118
7, 0.2, 0.13841237200160908
7, 0.4, 0.15515469605471485
7, 0.6000000000000001, 0.16682347153443142
7, 0.8, 0.17591108927290922
7, 1.0, 0.001
8, 0.0, 0.0186
8, 0.2, 0.022858064516128793
8, 0.4, 0.026951648351647838
8, 0.6000000000000001, 0.030722448979589558
8, 0.8, 0.03407540983605492
8, 1.0, 0.001
9, 0.0, 0.001
9, 0.2, 0.001
9, 0.4, 0.001
9, 0.6000000000000001, 0.001
9, 0.8, 0.001
9, 1.0, 0.001
10, 0.0, 0.001
10, 0.2, 0.001
10, 0.4, 0.001
10, 0.6000000000000001, 0.001
10, 0.8, 0.001
10, 1.0, 0.001
